Position FEN;Position description;Algorithm;Strategy;Depth;Duration [ms]
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequentialWithCache;Mate aware piece square evaluation;3;PT0.37526155S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequentialWithCache;Mate aware piece square evaluation;4;PT7.63143065S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequentialWithCache;Mate aware piece square evaluation;5;PT3M19.880926S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequentialWithCache;Mate aware piece square material evaluation;1;PT0.0005796S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequentialWithCache;Mate aware piece square material evaluation;2;PT0.0142988S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequentialWithCache;Mate aware piece square material evaluation;3;PT0.50153095S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequentialWithCache;Mate aware piece square material evaluation;4;PT10.22897435S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxSequentialWithCache;Mate aware piece square material evaluation;5;PT4M9.9924934S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxParallel;Mate aware material evaluation;1;PT0.00057635S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxParallel;Mate aware material evaluation;2;PT0.00312315S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxParallel;Mate aware material evaluation;3;PT0.0711832S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxParallel;Mate aware material evaluation;4;PT1.60403715S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxParallel;Mate aware material evaluation;5;PT1M1.11944225S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxParallel;Mate aware piece square evaluation;1;PT0.0003415S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxParallel;Mate aware piece square evaluation;2;PT0.0016542S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxParallel;Mate aware piece square evaluation;3;PT0.05171025S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxParallel;Mate aware piece square evaluation;4;PT1.41117025S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxParallel;Mate aware piece square evaluation;5;PT54.3499633S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxParallel;Mate aware piece square material evaluation;1;PT0.000515S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxParallel;Mate aware piece square material evaluation;2;PT0.00226475S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxParallel;Mate aware piece square material evaluation;3;PT0.081004S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxParallel;Mate aware piece square material evaluation;4;PT2.16961705S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxParallel;Mate aware piece square material evaluation;5;PT1M22.62286875S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxParallelWithCache;Mate aware material evaluation;1;PT0.0021054S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxParallelWithCache;Mate aware material evaluation;2;PT0.0048811S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxParallelWithCache;Mate aware material evaluation;3;PT0.05641315S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxParallelWithCache;Mate aware material evaluation;4;PT1.16290085S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxParallelWithCache;Mate aware material evaluation;5;PT32.0304993S
rn1q1r1k/pbpp1p1p/1p2p3/4P3/3P2Qp/P2B4/1PP2PPP/R4RK1 w - - 0 17;Mid game - en passant - long;MiniMaxParallelWithCache;Mate aware piece square evaluation;1;PT0.0003776S
