Position FEN;Position description;Algorithm;Strategy;Depth;Duration [ms]
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxAlphaBetaSequential;Piece square material evaluation;3;PT0.02607955S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxAlphaBetaSequential;Piece square material evaluation;4;PT0.0468296S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxAlphaBetaSequential;Piece square material evaluation;5;PT0.709478S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxAlphaBetaSequential;Piece square material evaluation;6;PT1.48373485S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxAlphaBetaSequential;Piece square material evaluation;7;PT25.8084272S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxParallel;Mate aware piece square material evaluation;1;PT0.0005296S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxParallel;Mate aware piece square material evaluation;2;PT0.0033928S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxParallel;Mate aware piece square material evaluation;3;PT0.1278257S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxParallel;Mate aware piece square material evaluation;4;PT5.6771552S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxParallel;Mate aware piece square material evaluation;5;PT4M5.5277552S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Piece square material evaluation;1;PT0.00049035S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Piece square material evaluation;2;PT0.01904025S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Piece square material evaluation;3;PT0.81405655S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Piece square material evaluation;4;PT31.64852915S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Piece square material evaluation;5;PT21M54.63103765S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxAlphaBetaSequential;Mate aware piece square material evaluation;1;PT0.0005291S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxAlphaBetaSequential;Mate aware piece square material evaluation;2;PT0.0011823S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxAlphaBetaSequential;Mate aware piece square material evaluation;3;PT0.02591015S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxAlphaBetaSequential;Mate aware piece square material evaluation;4;PT0.04810445S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxAlphaBetaSequential;Mate aware piece square material evaluation;5;PT0.7172409S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxAlphaBetaSequential;Mate aware piece square material evaluation;6;PT1.50408005S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxAlphaBetaSequential;Mate aware piece square material evaluation;7;PT26.03370125S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Simple material evaluation;1;PT0.0004023S
